Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Khowar,Pakistan,khw,Vulnerable,222800,35.8667,71.7956
Maiya,Pakistan,mvy,Vulnerable,220000,35.3151,72.908
Komi,Russian Federation,kpv,Definitely endangered,217316,62.3087,51.5917
Alpine Provençal,"France, Italy",oci,Definitely endangered,200000,44.7467,6.6796
Gallo,France,fra,Severely endangered,200000,47.931,-2.0544
Gera,Nigeria,gew,Vulnerable,200000,10.5553,10.0579
Irula,India,iru,Vulnerable,200000,11.4369,76.5032
Kharia,India,khr,Vulnerable,200000,21.8003,85.4956
Khorasani Turk,Iran (Islamic Republic of),kmz,Vulnerable,200000,36.6596,57.854
Korku,India,kfq,Vulnerable,200000,20.3034,80.2441
Moksha,Russian Federation,mdf,Definitely endangered,200000,54.1817,43.2751
Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic",hye,Definitely endangered,200000,33.884,35.5133
Western Cham,Cambodia,cja,Vulnerable,200000,12.0333,105.4333
Tshangla,"Bhutan, China, India",tsj,Vulnerable,193000,27.1275,91.9335
Thado,India,tcz,Vulnerable,191000,24.4521,93.2354
Gagauz (Bessarabia),"Republic of Moldova, Ukraine","bgx, gag",Definitely endangered,180000,46.0922,28.7951
Kului,India,kfx,Definitely endangered,170770,31.4403,77.1487
Adi,"China, India",adi,Vulnerable,170000,28.3527,95.2294
Lhota,India,njh,Vulnerable,170000,26.1603,94.3725
Nyishi,India,dap,Vulnerable,170000,27.5277,93.0981
Ngäbere (Panama),Panama,gym,Vulnerable,169130,9.3395,-82.2428
Kodagu,India,kfa,Definitely endangered,166187,11.6952,75.9375
Corsican,"France, Italy",cos,Definitely endangered,160000,42.0819,9.0307
Dzongkha,Bhutan,dzo,Vulnerable,160000,27.44,89.6731
Kalmyk,Russian Federation,xal,Definitely endangered,153602,46.2026,45.8239
Lak,Russian Federation,lbe,Vulnerable,153373,42.0125,47.2521
Asturian-Leonese,"Spain, Portugal","ast, ext, mwl",Definitely endangered,150000,42.7954,-5.6689
Latgalian,"Latvia, Russian Federation",lav,Vulnerable,150000,56.1822,27.1362
Provençal,France,oci,Severely endangered,150000,43.5485,6.1083
Rabha,India,rah,Vulnerable,150000,25.9284,90.9777
Tamzabit,Algeria,mzb,Vulnerable,150000,32.4816,3.6694
Sherpa,"China, India, Nepal",xsr,Vulnerable,143693,27.739,86.839
Tangkhul,India,nmf,Vulnerable,142000,25.0358,94.4824
Q'aanjob'al,Guatemala,None,Vulnerable,139830,15.6019,-91.4441
Badaga,India,bfq,Definitely endangered,134514,11.3642,76.5266
Angami,India,njm,Vulnerable,132000,25.7553,94.1308
Laz,"Georgia, Turkey",lzz,Definitely endangered,130000,41.2736,41.2646
Tabasaran,Russian Federation,tab,Vulnerable,128391,41.8081,47.9882
Chambeali,India,cdh,Definitely endangered,126589,32.9072,76.5307
Abkhaz,"Georgia, Russian Federation, Turkey",abk,Vulnerable,125000,43.133,40.8471
Phom,India,nph,Vulnerable,123000,26.7799,94.9493
Kolami,India,kfb,Definitely endangered,121855,20.5093,78.1787
Navajo,United States of America,nav,Vulnerable,120000,35.8044,-108.475
Sassarese,Italy,sdc,Definitely endangered,120000,40.6139,8.6132
Tamahaq (Algeria),Algeria,thv,Vulnerable,120000,22.8369,5.5371
Konda,India,kfc,Definitely endangered,118597,18.2763,82.9385
Sierra Totonac,Mexico,tos,Severely endangered,118367,20.2461,-97.6586
Jaunsari,India,jns,Definitely endangered,114733,30.4859,78.0908
Dimasa,India,dis,Vulnerable,112000,24.7368,92.9003
Ladakhi,"China, India","cna, lbj, tkk",Vulnerable,105000,34.0617,77.5909
Salar,China,slr,Vulnerable,104503,36.2752,102.4584
Simi,India,nsm,Vulnerable,104000,25.9777,94.5922
Phurhepecha,Mexico,tsz,Vulnerable,102988,19.3111,-102.041
Crimean Tatar (Crimea),Ukraine,"crh, jct",Severely endangered,100000,45.3212,34.3212
Dagur (Nonni),China,dta,Definitely endangered,100000,47.9163,124.1235
Francoprovençal,"France, Italy, Switzerland",frp,Definitely endangered,100000,45.7828,6.9982
Gallurese,Italy,sdn,Definitely endangered,100000,40.8802,9.4482
Mapuche (Argentina),Argentina,arn,Severely endangered,100000,-40.0791,-71.0156
Mehri,"Oman, Yemen",gdq,Definitely endangered,100000,16.5993,52.8057
Miskito (Nicaragua),Nicaragua,None,Vulnerable,100000,12.4001,-83.7332
Ordos,China,"drh, khk, mvf",Definitely endangered,100000,39.1641,108.1054
Quechua of Northern Bolivia,Bolivia (Plurinational State of),qul,Vulnerable,100000,-15.3649,-69.0518
Suba,"Kenya, United Republic of Tanzania","sxb, ssc",Vulnerable,100000,-0.9942,34.519
Garífuna (Honduras),Honduras,cab,Vulnerable,98000,15.6754,-88.1476
Embera (Colombia),Colombia,"emp, cmi, cto, sja, bdc, tdc, crf",Vulnerable,95000,6.1624,-76.8383
Kabui,India,nkf,Vulnerable,95000,24.7218,93.6584
Shughni,"Tajikistan, Afghanistan",sgh,Vulnerable,95000,37.4879,71.5374
Permyak,Russian Federation,koi,Definitely endangered,94328,59.204,54.5361
Poqomchi',Guatemala,pob,Vulnerable,92941,15.3757,-90.4288
Yimchungru,India,yim,Vulnerable,92000,25.9629,94.9713
Nogay (Caucasus),Russian Federation,nog,Definitely endangered,90020,43.8028,46.2744
Heiban,Sudan,hbn,Vulnerable,90000,10.8575,30.2371
Quichua (Cañar and Azuay),Ecuador,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Severely endangered,90000,-2.6577,-78.8378
Mezquital Otomí,Mexico,ote,Definitely endangered,88789,20.4831,-99.217
Eastern Mazahua,Mexico,None,Definitely endangered,88001,19.7129,-99.9515
Burushaski,Pakistan,bsk,Vulnerable,87000,35.909,74.2153
Central Otomí,Mexico,None,Definitely endangered,84593,19.4661,-99.5944
Chokri,India,nri,Vulnerable,84000,25.8691,94.7131
Sangtam,India,nsa,Vulnerable,84000,26.6032,94.9603
Ixil (Guatemala),Guatemala,None,Vulnerable,83574,15.4849,-91.0358
Achi',Guatemala,acr,Vulnerable,82640,15.0845,-90.4888
Yem,Ethiopia,jnj,Vulnerable,81613,7.6347,37.3205
Mao,India,nbi,Vulnerable,81000,25.5027,94.2681
Arbëresh,Italy,aae,Definitely endangered,80000,40.9321,14.8645
Lari,Iran (Islamic Republic of),"lrl, fay",Definitely endangered,80000,27.8585,54.8547
Páez,Colombia,pbb,Definitely endangered,80000,2.8237,-76.3117
Quechua of Santiago del Estero,Argentina,qus,Definitely endangered,80000,-26.7848,-63.6767
Svan,Georgia,sva,Definitely endangered,80000,43.0207,42.3193
Tai Daeng,"Lao People's Democratic Republic, Viet Nam",tyr,Vulnerable,80000,19.8833,104.6166
Taznatit,Algeria,grr,Severely endangered,80000,29.3413,0.3955
Razihi,Yemen,None,Definitely endangered,75000,16.8834,43.2655
Wakhi,"China, Pakistan, Tajikistan, Afghanistan",wbl,Definitely endangered,75000,37.1603,74.9047
